Date,Description,Amount
2026-05-01,MORTGAGE PAYMENT WELLS FARGO,2850.00
2026-05-02,WHOLE FOODS MARKET #412,187.43
2026-05-02,SHELL OIL 12345,68.20
2026-05-03,NETFLIX.COM,22.99
2026-05-03,STARBUCKS #4821,14.75
2026-05-04,CVS PHARMACY #3301,34.12
2026-05-05,CHIPOTLE MEXICAN GRILL,23.40
2026-05-05,AMAZON.COM PURCHASE,56.89
2026-05-06,PLANET FITNESS,25.00
2026-05-06,DOMINOES PIZZA,38.15
2026-05-07,COMCAST XFINITY,89.99
2026-05-07,TARGET STORE #1192,112.34
2026-05-08,UBER TECHNOLOGIES,19.45
2026-05-08,TRADER JOES #231,94.67
2026-05-09,DAYCARE LITTLE STARS LLC,1400.00
2026-05-09,EXXON MOBIL #5521,72.80
2026-05-10,COSTCO WHOLESALE,234.17
2026-05-10,SPOTIFY USA,11.99
2026-05-11,STATE FARM INSURANCE,187.00
2026-05-11,WALGREENS #4401,28.65
2026-05-12,MCDONALD'S #8823,12.30
2026-05-12,HOME DEPOT #0321,143.55
2026-05-13,ELECTRIC BILL - DUKE ENERGY,142.00
2026-05-13,WATER BILL CITY UTILITIES,54.00
2026-05-14,PANERA BREAD #2210,18.90
2026-05-14,AMAZON PRIME MEMBERSHIP,14.99
2026-05-15,DR SMITH DENTAL OFFICE,180.00
2026-05-15,LYFT RIDE,14.20
2026-05-16,KROGER #7712,156.82
2026-05-16,HULU SUBSCRIPTION,17.99
2026-05-17,KIDS SOCCER LEAGUE,120.00
2026-05-17,BP GAS STATION,61.40
2026-05-18,VERIZON WIRELESS,95.00
2026-05-18,CHEWY.COM PET SUPPLIES,67.34
2026-05-19,OLIVE GARDEN,74.50
2026-05-19,PARKING LOT DOWNTOWN,18.00
2026-05-20,GEICO AUTO INSURANCE,143.00
2026-05-20,APPLE.COM PURCHASE,9.99
2026-05-21,WEGMANS FOOD MARKET,203.44
2026-05-21,SOULCYCLE CLASS,34.00
2026-05-22,DELTA AIRLINES TICKET,487.00
2026-05-22,NATURAL GAS - NICOR,78.00
2026-05-23,ALDI GROCERY,88.21
2026-05-23,AMAZON.COM PURCHASE,29.99
2026-05-24,CHILDRENS MUSEUM TICKETS,42.00
2026-05-24,SHELL OIL 99812,64.10
2026-05-25,TRANSFER TO SAVINGS ACCOUNT,500.00
2026-05-25,RALPHS SUPERMARKET,131.09
2026-05-26,NETFLIX.COM,22.99
2026-05-26,VET CLINIC HAPPY PAWS,215.00
2026-05-27,DUNKIN DONUTS,8.45
2026-05-27,PARKING METER,4.00
2026-05-28,CHASE CREDIT CARD PAYMENT,350.00
2026-05-28,LOWE'S HOME IMPROVEMENT,89.76
